Group #,Category/Family,Product ID,Product Name,Current Qty,Sales Orders,Last Sale Date,Total Qty Sold,Order Types,Purchase Orders,Last PO Date,Total Qty Purchased,Has Activity
"23","TECHNO CERAM","3302","TERRE PERLA POLI REC 150/75 (2éme)","472.5","0","","0","","0","","0","YES"
"24","TIMGAD CERAM","411","ALPE RELIEFE 45/90 (Mý)","0","0","","0","","0","","0","NO"
"24","TIMGAD CERAM","3143","ALPE RELIEFE 45/90 (M²)","468.99","0","","0","","0","","0","YES"
"25","TECHNO CERAM","422","FORMULA MARFIL RELIEFE 45/90 (Mý)","0","0","","0","","0","","0","NO"
"25","TECHNO CERAM","3130","FORMULA MARFIL RELIEFE 45/90 (M²)","232.32","0","","0","","0","","0","YES"
"26","TECHNO CERAM","424","CALACATA RELIEFE 45/90 (48C) (Mý)","0","0","","0","","0","","0","NO"
"26","TECHNO CERAM","3260","CALACATA RELIEFE 45/90 (48C) (M²)","233.28","1","Sun Mar 01 2026 00:00:00 GMT+0100 (Central European Standard Time)","13.5","RETAIL","0","","0","YES"
"27","TECHNO CERAM","437","VENICIA GOLD RELIEFE 45/90 (Mý)","0","0","","0","","0","","0","NO"
"27","TECHNO CERAM","3304","VENICIA GOLD RELIEFE 45/90 (M²)","58.32","0","","0","","0","","0","YES"
"28","TECHNO CERAM","439","VERONA MARFIL RELIEFE 45/90 (Mý)","0","0","","0","","0","","0","NO"
"28","TECHNO CERAM","3064","VERONA MARFIL RELIEFE 45/90 (M²)","392.04","0","","0","","0","","0","YES"
"29","TIMGAD CERAM","456","HAWAI PERLA RELIEFE 30/90 (Mý)","0","0","","0","","0","","0","NO"
"29","TIMGAD CERAM","3097","HAWAI PERLA RELIEFE 30/90 (M²)","392.04","0","","0","","0","","0","YES"
"30","TIMGAD CERAM","459","SYDNEY BEIGE RELIEFE 45/90 (Mý)","0","0","","0","","0","","0","NO"
"30","TIMGAD CERAM","3131","SYDNEY BEIGE RELIEFE 45/90 (M²)","250.29","0","","0","","0","","0","YES"
"31","TECHNO CERAM","466","CELINE MARFIL RELIEFE 30/90 (Mý)","0","0","","0","","0","","0","NO"
